Employee ID,Profits Value,Expenses Value
159,9231,6608
160,9302,5622
161,9521,5791
162,9793,5398
163,9442,5212
164,8628,6128
165,9302,5636
166,9602,6908
167,9419,5296
168,8618,6218
169,9214,5196
170,9784,5366
171,8984,5364
172,9684,6018
173,9322,6806
174,8378,5578
175,9671,6926
176,8993,5053
177,9865,5502
178,8478,6768
179,9610,5201
180,9623,6523
181,8645,6544
182,8725,6341
183,9684,5024
184,8642,4102
185,9902,5962
186,8741,5921
187,8083,5283
188,9064,5654
189,9882,6672
190,8632,5452
191,9226,6604
192,9399,5229
193,9781,6481
194,9365,6899
195,8251,5681
196,9552,5142
197,9825,5559
198,8775,5353
199,9172,6832
200,8971,5829
201,8093,6653
202,8126,5273
203,9416,5723
204,9386,5844
205,8746,6421
206,9866,5251
207,9686,6628
208,9216,6227
209,9886,5168
210,9405,5857
211,9448,5478
212,9132,6391
213,9585,6168
214,8455,6147
215,9415,5681
216,9555,6873
217,9745,6068
218,9603,5685
219,8522,6668
220,9703,6027
221,9813,6898
222,9663,5197
223,9278,6308
224,9442,5947
225,8368,5138
226,8142,5637
227,9024,5428
228,9959,6567
229,9918,6478
230,8433,6607
231,9363,5043
232,9393,6248
233,9866,6562
234,9826,5359
235,9656,5149
236,9476,5944
237,8468,5494
238,8896,6609
239,9719,5871
240,8272,6611
241,9812,6893
242,8763,5074
243,8369,5454
244,9564,5133
245,9076,6567
246,9856,6641
247,9929,5483
248,9273,5962
249,9386,5641
250,9126,6289
251,9546,5687
252,8756,6235
253,8238,5431
254,9732,5685
255,9448,6205
256,8929,5195
257,9888,6045
258,9651,5321
259,9539,5923
260,9873,6071
261,8658,6613
262,9863,6934
263,9264,6024
264,9614,6185
265,8948,6755
266,9554,5939
267,9168,5711
268,9172,5367
269,9782,6033
270,8913,5024
271,9134,6617
272,9181,5857
273,8681,5107
274,8248,5177
275,9859,5107
276,9552,6426
277,8298,5346
278,8342,5546
279,9621,6913
280,9445,5437
281,9182,6249
282,9863,5383
283,9553,6411
284,8764,6856
285,9752,5339
286,9452,5755
287,8604,6764
288,8081,6131
289,8129,6309
290,8771,6701
291,9387,5866
292,8962,6326
293,9669,6799
294,9717,6756
295,9312,6082
296,8723,5043
297,8479,5319
298,9351,5721
299,9597,6295
300,8887,6652
301,9887,6669
302,8937,5171
303,9087,5232
304,8967,5283
305,8947,5639
306,9587,6823
307,9227,5611
308,8447,5245
309,9557,5442
310,9407,5012
311,8267,5254
312,9457,5645
313,9267,6125
314,8457,6852
315,8737,5414
316,9797,6214
317,9427,6169
318,8907,5153
319,8907,5363
320,9817,6014
321,9277,5302
322,9477,6107
323,9517,5322
324,9417,6893
325,8887,5079
326,9427,5221
327,9807,5012
328,8907,5059
329,9547,5641
330,8987,6231
331,8417,6167
332,9867,5709
333,9087,5479
334,9347,6842
335,8807,5391
336,8937,5589
337,8867,6034
338,9747,5143
339,9677,6024
340,9857,6539
341,9397,5297
342,8457,5142
343,8257,5051
344,8767,6941
345,8657,5572
346,9907,5244
347,8447,6064
348,9407,6473
349,8417,6557
350,9447,5711
351,8807,5117
352,9057,5389
353,9127,6481
354,8577,5227
355,8927,5017
356,9827,5627
357,9387,6497
358,9367,5347
359,9587,5567
360,8247,6507
361,9447,5966
362,9217,5027
363,9307,5327
364,8827,5425
365,8127,5245
366,8347,5444
367,8807,6895
368,8947,6069
369,9577,6757
370,9917,5097
371,9457,6691
372,9817,6242
373,9757,6556
374,8697,6700
375,8029,5658
376,9675,6986
377,8315,5066
378,9655,5566
379,9159,5296
380,9963,6573
381,8675,6696
382,9583,5433
383,8759,6548
384,9725,5306
385,9701,6418
386,8801,6042
387,9129,5658
388,9865,5457
389,8511,6238
390,9889,6747
391,9519,5808
392,9057,5447
393,9471,5248
394,9613,6493
395,9749,5688
396,8993,5077
397,9793,5018
398,9859,6787
399,9599,5837
400,9383,6933
401,9823,6807
402,8809,6875
403,8289,6585
404,9301,5927
405,9235,6077
406,8531,6972
407,9319,5689
408,9527,6755
409,9917,6101
410,9883,5204
411,8099,5229
412,9687,6164
413,8861,5182
414,8197,5775
415,9671,5262
416,9543,5301
417,9867,6823
418,9717,6095
419,9467,5415
420,9921,6752
421,9657,6595
422,9273,5285
423,8573,5115
424,8791,6903
425,8753,5368
426,8625,5086
427,9285,6488
428,9735,5546
429,8825,5036
430,9655,5766
431,9835,5176
432,8675,5686
433,8119,6238
434,8101,6606
435,9391,6198
436,9395,6599
437,9979,5798
438,9961,5323
439,9293,5238
440,9223,5796
441,8559,5466
442,8367,6576
443,9745,6016
444,9261,6846
445,8315,5686
446,9385,6196
447,9255,6633
448,9815,5829
449,8939,5803
450,8143,6584
451,8171,6114
452,8797,5446
453,9479,5246
454,9341,5966
455,8647,5036
456,9407,5769
457,9659,6332
458,9967,6721
459,8827,5868
460,9387,6499
461,9529,6263
462,9317,6482
463,9851,5514
464,9927,6595
465,9399,5715
466,9707,5565
467,8967,5175
468,9633,6131
469,9919,6725
470,9123,6191
471,9813,6956
472,9869,5376
473,9493,5563
474,8601,5516
475,9187,6498
476,9209,6822
477,9539,5271
478,9017,5805
479,9627,5265
480,9387,5459
481,8197,6186
482,8157,5225
483,8393,5864
484,9657,5285
485,9927,6905
486,8907,5146
487,8327,6346
488,8097,6256
489,9317,5346
490,9027,6196
491,9757,5026
492,8437,6736
493,8827,6146
494,8087,5836
495,9587,5796
496,9577,6249
497,8177,5556
498,8557,6846
499,8897,5386
500,9317,6136
